State,EV Sales,Gas Sales,Year
Alabama,500,4352200,2016
Alaska,200,631300,2016
Arizona,4700,5429400,2016
Arkansas,200,2527700,2016
California,141500,29356300,2016
Colorado,5300,4778700,2016
Connecticut,2000,2914600,2016
Delaware,300,836500,2016
District of Columbia,600,298900,2016
Florida,11600,15469400,2016
Georgia,18000,8322000,2016
Hawaii,4200,1016200,2016
Idaho,400,1597200,2016
Illinois,5800,9936600,2016
Indiana,1300,5601200,2016
Iowa,400,2907000,2016
Kansas,600,2449800,2016
Kentucky,500,3752100,2016
Louisiana,400,3681300,2016
Maine,300,1149100,2016
Maryland,3200,4478200,2016
Massachusetts,3600,5021900,2016
Michigan,1600,8299500,2016
Minnesota,1600,4679700,2016
Mississippi,100,2474100,2016
Missouri,1400,5402900,2016
Montana,200,955300,2016
Nebraska,300,1766900,2016
Nevada,2000,2152500,2016
New Hampshire,400,1269600,2016
New Jersey,4200,6587600,2016
New Mexico,500,1614400,2016
New York,6100,11110300,2016
North Carolina,2900,7983500,2016
North Dakota,0,741800,2016
Ohio,2600,9880700,2016
Oklahoma,600,4069100,2016
Oregon,7700,3482300,2016
Pennsylvania,3200,9782200,2016
Rhode Island,300,837200,2016
South Carolina,800,4307600,2016
South Dakota,100,842200,2016
Tennessee,2600,5374200,2016
Texas,11900,21867900,2016
Utah,2500,2406600,2016
Vermont,300,591900,2016
Virginia,3100,7204300,2016
Washington,14900,5929800,2016
West Virginia,100,1493200,2016
Wisconsin,2600,5248500,2016
Wyoming,100,587400,2016
Alabama,800,4377400,2017
Alaska,400,613800,2017
Arizona,7200,5629000,2017
Arkansas,300,2561000,2017
California,189700,30488800,2017
Colorado,8000,4899400,2017
Connecticut,3000,2955600,2017
Delaware,400,847300,2017
District of Columbia,800,313700,2017
Florida,15900,15973000,2017
Georgia,14400,8472100,2017
Hawaii,5400,1029000,2017
Idaho,700,1653600,2017
Illinois,8300,9962700,2017
Indiana,1900,5705200,2017
Iowa,600,2943800,2017
Kansas,1000,2483600,2017
Kentucky,700,3836100,2017
Louisiana,600,3733800,2017
Maine,500,1166700,2017
Maryland,4400,4536400,2017
Massachusetts,5600,5103300,2017
Michigan,2500,8539400,2017
Minnesota,2300,4704500,2017
Mississippi,200,2547200,2017
Missouri,2100,5581600,2017
Montana,300,949900,2017
Nebraska,500,1797400,2017
Nevada,3100,2216200,2017
New Hampshire,600,1286500,2017
New Jersey,6900,6761100,2017
New Mexico,700,1753200,2017
New York,9400,11151900,2017
North Carolina,4400,8138900,2017
North Dakota,100,753400,2017
Ohio,3700,9966900,2017
Oklahoma,1200,4056600,2017
Oregon,10000,3567200,2017
Pennsylvania,4400,9812600,2017
Rhode Island,400,840300,2017
South Carolina,1200,4418600,2017
South Dakota,100,872600,2017
Tennessee,2900,5499000,2017
Texas,16100,22106000,2017
Utah,3600,2499700,2017
Vermont,700,593600,2017
Virginia,5100,7431300,2017
Washington,21000,6229900,2017
West Virginia,100,1500600,2017
Wisconsin,2800,5351600,2017
Wyoming,100,593000,2017
Alabama,1300,4396100,2018
Alaska,500,591600,2018
Arizona,12600,5807300,2018
Arkansas,600,2551700,2018
California,273500,31110900,2018
Colorado,12500,4949100,2018
Connecticut,5000,2887900,2018
Delaware,800,857400,2018
District of Columbia,1100,317300,2018
Florida,27400,16367400,2018
Georgia,15900,8606000,2018
Hawaii,6600,1040000,2018
Idaho,1100,1712500,2018
Illinois,13600,9957500,2018
Indiana,3400,5763800,2018
Iowa,1100,2954600,2018
Kansas,1700,2489300,2018
Kentucky,1200,3859800,2018
Louisiana,900,3741800,2018
Maine,800,1171700,2018
Maryland,8400,4573600,2018
Massachusetts,10300,5131700,2018
Michigan,4200,8532300,2018
Minnesota,4900,4888900,2018
Mississippi,300,2564200,2018
Missouri,3500,5613500,2018
Montana,500,946700,2018
Nebraska,900,1813300,2018
Nevada,5100,2274300,2018
New Hampshire,1200,1305300,2018
New Jersey,13400,6987000,2018
New Mexico,1300,1769300,2018
New York,15500,11163600,2018
North Carolina,7300,8248500,2018
North Dakota,100,752600,2018
Ohio,6400,10039700,2018
Oklahoma,3700,4028700,2018
Oregon,13800,3639500,2018
Pennsylvania,8000,9793200,2018
Rhode Island,700,861300,2018
South Carolina,2000,4494800,2018
South Dakota,200,891400,2018
Tennessee,3900,5810200,2018
Texas,24500,22530300,2018
Utah,5600,2618600,2018
Vermont,1100,590800,2018
Virginia,9900,7479400,2018
Washington,30200,6312200,2018
West Virginia,200,1487900,2018
Wisconsin,3700,5386000,2018
Wyoming,200,598700,2018
Alabama,2000,4511400,2019
Alaska,700,581000,2019
Arizona,19500,5981500,2019
Arkansas,900,2555200,2019
California,349700,31783800,2019
Colorado,19200,5054900,2019
Connecticut,6900,2885000,2019
Delaware,1300,872300,2019
District of Columbia,1800,311400,2019
Florida,40300,16636000,2019
Georgia,19000,8702600,2019
Hawaii,8800,1045400,2019
Idaho,1600,1759800,2019
Illinois,19300,10041900,2019
Indiana,5100,5823400,2019
Iowa,1600,2977300,2019
Kansas,2300,2517700,2019
Kentucky,1900,3893000,2019
Louisiana,1400,3755600,2019
Maine,1300,1177100,2019
Maryland,13200,4580900,2019
Massachusetts,14100,5088000,2019
Michigan,6600,8378200,2019
Minnesota,7700,5044200,2019
Mississippi,500,2634000,2019
Missouri,4900,5591200,2019
Montana,700,941600,2019
Nebraska,1300,1828100,2019
Nevada,7900,2320100,2019
New Hampshire,1900,1326200,2019
New Jersey,20200,7059400,2019
New Mexico,1900,1795200,2019
New York,23000,11156200,2019
North Carolina,11600,8420700,2019
North Dakota,200,760400,2019
Ohio,10200,10110500,2019
Oklahoma,3400,4052300,2019
Oregon,18800,3603800,2019
Pennsylvania,12000,9853200,2019
Rhode Island,1100,863300,2019
South Carolina,3000,4580400,2019
South Dakota,300,887900,2019
Tennessee,5700,5962900,2019
Texas,38400,23612200,2019
Utah,8000,2713700,2019
Vermont,1700,588100,2019
Virginia,15000,7545500,2019
Washington,40400,6349200,2019
West Virginia,400,1471000,2019
Wisconsin,4700,5432400,2019
Wyoming,200,607100,2019
Alabama,2900,4600300,2020
Alaska,900,567200,2020
Arizona,28800,6026800,2020
Arkansas,1300,2604800,2020
California,425300,32303300,2020
Colorado,24700,4971400,2020
Connecticut,9000,2831900,2020
Delaware,1900,889200,2020
District of Columbia,2400,298800,2020
Florida,58200,16885300,2020
Georgia,23500,8858300,2020
Hawaii,10700,1020000,2020
Idaho,2300,1802600,2020
Illinois,26000,9914000,2020
Indiana,7000,5888200,2020
Iowa,2300,2996900,2020
Kansas,3100,2525000,2020
Kentucky,2600,3884700,2020
Louisiana,2000,3768300,2020
Maine,1900,1186000,2020
Maryland,18000,4658400,2020
Massachusetts,21000,5193500,2020
Michigan,10600,8306100,2020
Minnesota,10400,5056000,2020
Mississippi,800,2683400,2020
Missouri,6700,5412600,2020
Montana,900,941300,2020
Nebraska,1800,1842900,2020
Nevada,11000,2324300,2020
New Hampshire,2700,1334300,2020
New Jersey,30400,6885300,2020
New Mexico,2600,1802700,2020
New York,32600,11107400,2020
North Carolina,16200,8531400,2020
North Dakota,200,764200,2020
Ohio,14500,10099400,2020
Oklahoma,3400,3905800,2020
Oregon,22800,3469300,2020
Pennsylvania,17500,9985300,2020
Rhode Island,1600,858300,2020
South Carolina,4400,4659100,2020
South Dakota,400,897400,2020
Tennessee,7800,6055100,2020
Texas,52200,24010400,2020
Utah,11200,2777800,2020
Vermont,2200,580000,2020
Virginia,20500,7460900,2020
Washington,50500,6456600,2020
West Virginia,600,1455300,2020
Wisconsin,6300,5434200,2020
Wyoming,300,614300,2020
Alabama,4700,4665100,2021
Alaska,1300,553700,2021
Arizona,40700,6100300,2021
Arkansas,2400,2649600,2021
California,563100,32755800,2021
Colorado,37000,5066200,2021
Connecticut,13300,2772600,2021
Delaware,3000,882600,2021
District of Columbia,3700,298800,2021
Florida,95600,17217400,2021
Georgia,34000,9142700,2021
Hawaii,14200,1029000,2021
Idaho,3500,1845300,2021
Illinois,36500,9699000,2021
Indiana,10400,5930000,2021
Iowa,3700,3001300,2021
Kansas,4500,2526800,2021
Kentucky,4200,3932600,2021
Louisiana,3200,3768100,2021
Maine,3000,1193100,2021
Maryland,25600,4845400,2021
Massachusetts,30500,5200900,2021
Michigan,17500,8205500,2021
Minnesota,15000,5060600,2021
Mississippi,1300,2698500,2021
Missouri,10000,5414400,2021
Montana,1600,960800,2021
Nebraska,2700,1873000,2021
Nevada,17400,2380700,2021
New Hampshire,4000,1331000,2021
New Jersey,47800,6869200,2021
New Mexico,4200,1839000,2021
New York,51900,10976500,2021
North Carolina,25200,8645500,2021
North Dakota,400,761600,2021
Ohio,21200,10149400,2021
Oklahoma,7100,4022700,2021
Oregon,30300,3550500,2021
Pennsylvania,26800,10013400,2021
Rhode Island,2500,854100,2021
South Carolina,7400,4749900,2021
South Dakota,700,899300,2021
Tennessee,12200,6096300,2021
Texas,80900,24166600,2021
Utah,16500,2827800,2021
Vermont,3400,574600,2021
Virginia,30700,7357900,2021
Washington,66800,6495000,2021
West Virginia,1000,1458300,2021
Wisconsin,9300,5379500,2021
Wyoming,500,621100,2021
Alabama,8700,4701300,2022
Alaska,2000,544900,2022
Arizona,65800,6183400,2022
Arkansas,5100,2636600,2022
California,903600,33332900,2022
Colorado,59900,5122000,2022
Connecticut,22000,2830500,2022
Delaware,5400,880800,2022
District of Columbia,5900,292500,2022
Florida,168000,17478600,2022
Georgia,60100,9238500,2022
Hawaii,19800,1018500,2022
Idaho,5900,1855300,2022
Illinois,66900,9641300,2022
Indiana,17700,5906800,2022
Iowa,6200,3000300,2022
Kansas,7600,2531600,2022
Kentucky,7600,3881000,2022
Louisiana,5900,3732100,2022
Maine,5000,1174500,2022
Maryland,46100,4819800,2022
Massachusetts,49400,5153600,2022
Michigan,33100,8216100,2022
Minnesota,24300,4886300,2022
Mississippi,2400,2684500,2022
Missouri,17900,5260100,2022
Montana,3300,966500,2022
Nebraska,4600,1879500,2022
Nevada,32900,2398600,2022
New Hampshire,7000,1318500,2022
New Jersey,87000,6855400,2022
New Mexico,7100,1857200,2022
New York,84700,10821400,2022
North Carolina,45600,8656900,2022
