State,Year,CO2/Wh
AL,2016,0.0007965622875676069
AK,2016,0.005257746819482207
AZ,2016,0.0008308154410163025
AR,2016,0.0010218435012545827
CA,2016,0.0017828916305540575
CO,2016,0.0016143453350037085
CT,2016,0.0009296371929335727
DE,2016,0.001644927737121259
FL,2016,0.0009974303188938713
GA,2016,0.0010778054921859173
HI,2016,0.0019705203006199555
ID,2016,0.0011570363905605227
IL,2016,0.0010987789609052732
IN,2016,0.0017773445221562721
IA,2016,0.0013229297328369574
KS,2016,0.0013075225224310105
KY,2016,0.0015726421227903664
LA,2016,0.0017552301021506104
ME,2016,0.0013928180930005063
MD,2016,0.001617348712075091
MA,2016,0.0019963342535873076
MI,2016,0.0013727343226579295
MN,2016,0.0015227871563094444
MS,2016,0.0009844262669634072
MO,2016,0.0015062086393675008
MT,2016,0.0011145477670294935
NE,2016,0.0013149588260233393
NV,2016,0.0009998408173055799
NH,2016,0.0007131296663561382
NJ,2016,0.0013528130343606931
NM,2016,0.0014746158631417834
NY,2016,0.0012601146408230198
NC,2016,0.0009501057253560367
ND,2016,0.0014387490346969623
OH,2016,0.0017042194147666202
OK,2016,0.0012143031486781181
OR,2016,0.0006203888935011711
PA,2016,0.0010098680583842526
RI,2016,0.00145542112865512
SC,2016,0.000740078384511826
SD,2016,0.0012736684581647647
TN,2016,0.0012698372518749831
TX,2016,0.0014386057133520239
UT,2016,0.0015355437866404462
VT,2016,0.0030705233280684664
VA,2016,0.0011826184871274919
WA,2016,0.0006907774806348155
WV,2016,0.0012411188078587363
WI,2016,0.0014646521158746778
WY,2016,0.0013081761425552214
AL,2017,0.0007721407865787356
AK,2017,0.005173100408981297
AZ,2017,0.0008503054208127523
AR,2017,0.0010501442218898505
CA,2017,0.0017195150276266967
CO,2017,0.0016374399475152556
CT,2017,0.0009752568653419584
DE,2017,0.0018293474269662682
FL,2017,0.0009956165825790305
GA,2017,0.001106324131556791
HI,2017,0.002060853256093733
ID,2017,0.0010634054362817303
IL,2017,0.0011127826152933199
IN,2017,0.0017694063877681692
IA,2017,0.0012784104833325222
KS,2017,0.0011521360700998589
KY,2017,0.0015886802087396999
LA,2017,0.001971233875467709
ME,2017,0.0013521388241839105
MD,2017,0.001604568029924594
MA,2017,0.0020019036109541924
MI,2017,0.001381461041233619
MN,2017,0.0015457773514949136
MS,2017,0.001005920277228374
MO,2017,0.0014649260266837317
MT,2017,0.0011013914920638406
NE,2017,0.0013426727218133548
NV,2017,0.0010474678905866193
NH,2017,0.0007711115933107329
NJ,2017,0.001306721939395769
NM,2017,0.001467161835449791
NY,2017,0.0012895225330497016
NC,2017,0.0009383588638183815
ND,2017,0.0013586877909074415
OH,2017,0.0016892368701243185
OK,2017,0.0012585349818876497
OR,2017,0.0006135492001679404
PA,2017,0.0010043017185249583
RI,2017,0.0013041613511269247
SC,2017,0.0007468409626339267
SD,2017,0.0013295591069745454
TN,2017,0.0012249767663124514
TX,2017,0.001460404546908778
UT,2017,0.0015709599594405917
VT,2017,0.0027042766158083247
VA,2017,0.0011615493271615045
WA,2017,0.0006780564048991577
WV,2017,0.001235431483661759
WI,2017,0.001508608404945053
WY,2017,0.0013389236380384494
AL,2018,0.0007714664427698504
AK,2018,0.005505135167159402
AZ,2018,0.0008366989982195777
AR,2018,0.0010360571425444673
CA,2018,0.00182477491220084
CO,2018,0.001614340582908702
CT,2018,0.0009438834864903057
DE,2018,0.0022324803124207275
FL,2018,0.0009864684249799233
GA,2018,0.0010930745404562807
HI,2018,0.0020506950989108387
ID,2018,0.0010367060449866807
IL,2018,0.001124731806198702
IN,2018,0.001660286335710558
IA,2018,0.0012635624103476335
KS,2018,0.0012089884168887252
KY,2018,0.0015507832241906157
LA,2018,0.001899991975619742
ME,2018,0.0013002911963729104
MD,2018,0.0014014781203855048
MA,2018,0.002350554605494467
MI,2018,0.0014086068596319997
MN,2018,0.001532891109715999
MS,2018,0.0009906233078127678
MO,2018,0.0014602281363102834
MT,2018,0.0011022217334975951
NE,2018,0.0014077929443663771
NV,2018,0.0010395924464533764
NH,2018,0.0008299539889728455
NJ,2018,0.0013939788378412525
NM,2018,0.001393796033175968
NY,2018,0.0013158864749161807
NC,2018,0.0009209167392984742
ND,2018,0.001378437388045313
OH,2018,0.001626043452920871
OK,2018,0.001123231060047928
OR,2018,0.0006127134051460906
PA,2018,0.0010186591320617401
RI,2018,0.0013161486168558958
SC,2018,0.0007419457978112084
SD,2018,0.0012216076379118735
TN,2018,0.0011436726419956416
TX,2018,0.0014266802328540766
UT,2018,0.0015494012775925064
VT,2018,0.0026700172285843045
VA,2018,0.0011463467873127227
WA,2018,0.0006692855531305523
WV,2018,0.0013219816838729397
WI,2018,0.001527931996504007
WY,2018,0.0013800992173367808
AL,2019,0.0007417411780600095
AK,2019,0.005626489490916766
AZ,2019,0.0008111893503107773
AR,2019,0.0010052129640021488
CA,2019,0.0017668042922819138
CO,2019,0.0016170204016503387
CT,2019,0.0009112335913063032
DE,2019,0.002575026630206078
FL,2019,0.0009471792790546706
GA,2019,0.0010557928074945903
HI,2019,0.0020861211287478212
ID,2019,0.001080796378607012
IL,2019,0.00109556958443942
IN,2019,0.0017112183253653864
IA,2019,0.0012025489114434816
KS,2019,0.001182286547238331
KY,2019,0.0015905718932156055
LA,2019,0.0019414536053593081
ME,2019,0.0013667910052447532
MD,2019,0.0014397924733823959
MA,2019,0.0029337966755113316
MI,2019,0.0013590786115904357
MN,2019,0.0015444479507322883
MS,2019,0.0009434443692287086
MO,2019,0.001488109617653037
MT,2019,0.0011561191480387572
NE,2019,0.0013459858455832417
NV,2019,0.0010425596756062237
NH,2019,0.0007700964012580707
NJ,2019,0.001413893828558785
NM,2019,0.0013827386681837537
NY,2019,0.0012796126553935312
NC,2019,0.0009308294901476896
ND,2019,0.0013777254326312258
OH,2019,0.0016110289233295181
OK,2019,0.0010525734348815394
OR,2019,0.0006678655212581633
PA,2019,0.0009521160521355512
RI,2019,0.001355165816422874
SC,2019,0.000689347710462241
SD,2019,0.0010947928082274423
TN,2019,0.0011140923995662602
TX,2019,0.001408654382548924
UT,2019,0.0015669247564415794
VT,2019,0.0026151779640461305
VA,2019,0.0010971699289879908
WA,2019,0.0007867357527829927
WV,2019,0.0013335750622957578
WI,2019,0.0015045559286048086
WY,2019,0.0013974790912678978
AL,2020,0.0007123180228884345
AK,2020,0.005722332693180237
AZ,2020,0.0007289564064999862
AR,2020,0.0009959646452197635
CA,2020,0.0015638982193315052
CO,2020,0.0014647338298422385
CT,2020,0.0008170027549450782
DE,2020,0.0023357880826340117
FL,2020,0.0008241718205806646
GA,2020,0.0009648795746037478
HI,2020,0.0016253408304034247
ID,2020,0.001083689301497908
IL,2020,0.0009719863686862693
IN,2020,0.0017052795790931529
IA,2020,0.001065872024989797
KS,2020,0.0010525835867409002
KY,2020,0.00158595544193869
LA,2020,0.0018107123077177928
ME,2020,0.0013407008185526426
MD,2020,0.001323683778916414
MA,2020,0.002857997208547062
MI,2020,0.0012776035450026042
MN,2020,0.001379846700119562
MS,2020,0.0009427337257918034
MO,2020,0.0014907674518735375
MT,2020,0.0011167658347496644
NE,2020,0.0012549471771098942
NV,2020,0.0008910322070122947
NH,2020,0.0007584877634095578
NJ,2020,0.001364022457391254
NM,2020,0.0013175610061858538
NY,2020,0.0011032565284656893
NC,2020,0.0008526550565938625
ND,2020,0.0013140330879794736
OH,2020,0.0015080715645336873
OK,2020,0.0010032816592832061
OR,2020,0.0005850195660445377
PA,2020,0.0008366218412245216
RI,2020,0.0011008460289136548
SC,2020,0.0006409507546715739
SD,2020,0.0010489241036046916
TN,2020,0.0010272992902214972
TX,2020,0.0013188728377914133
UT,2020,0.0015399140885820894
VT,2020,0.0025000104382511368
VA,2020,0.000947158519648488
WA,2020,0.0005856381282016654
WV,2020,0.0013533312244476986
WI,2020,0.0014100111429395136
WY,2020,0.001318349472298486
AL,2021,0.0007588210164716951
AK,2021,0.006019917589674844
AZ,2021,0.0007608432070391102
AR,2021,0.0010102705553021011
CA,2021,0.0016436962534293008
CO,2021,0.0014895414088774025
CT,2021,0.0008242200778589167
DE,2021,0.002940583633174555
FL,2021,0.0009092567822543711
GA,2021,0.000995303473466608
HI,2021,0.001870176673359806
ID,2021,0.0012068999835302238
IL,2021,0.0010094850730148137
IN,2021,0.001756937422153054
IA,2021,0.0010588986395910051
KS,2021,0.0010509748884589111
KY,2021,0.0015848268863187579
LA,2021,0.0019030749490783786
ME,2021,0.0013141823176216654
MD,2021,0.0013666522059468294
MA,2021,0.0028751820811251704
MI,2021,0.0012754082277383904
MN,2021,0.001400112350081294
MS,2021,0.000925747063588603
MO,2021,0.0015131959838819993
MT,2021,0.0011358768525918854
NE,2021,0.0012396933388705055
NV,2021,0.0009430562217932887
NH,2021,0.0007720504665740726
NJ,2021,0.0014427042543089597
NM,2021,0.0012992771906605095
NY,2021,0.0012634253660779807
NC,2021,0.000886342159699267
ND,2021,0.0013040221264743845
OH,2021,0.0015339265754834076
OK,2021,0.001081672157467296
OR,2021,0.0006266183254739254
PA,2021,0.0008855183901492293
RI,2021,0.0011422031352352206
SC,2021,0.0007007502135586665
SD,2021,0.0008691380224190538
TN,2021,0.0011647425371327782
TX,2021,0.0013739544238194662
UT,2021,0.0014564231390227225
VT,2021,0.00262866840334422
VA,2021,0.0010484231662979317
WA,2021,0.0006625320257563014
WV,2021,0.0013392365107392256
WI,2021,0.0014358409959205388
WY,2021,0.0012520201550710007
AL,2022,0.0007548308465924233
AK,2022,0.006170234618626239
AZ,2022,0.0007777256924125459
AR,2022,0.0009586907338126365
CA,2022,0.0016038901291017353
CO,2022,0.0015278953689404717
CT,2022,0.000860356468510273
DE,2022,0.0023858524753372808
